iter	Logloss
0	0.6926765046
1	0.6920016478
2	0.6914270307
3	0.6907743518
4	0.6900965196
5	0.6894736237
6	0.6888669309
7	0.6883023564
8	0.6878192493
9	0.6872645128
10	0.6867032377
11	0.6860766201
12	0.6855339958
13	0.6849685725
14	0.6844667118
15	0.6840294871
16	0.6835158916
17	0.6831150783
18	0.6825997895
19	0.6821606668
20	0.6816361177
21	0.6811521153
22	0.6806776931
23	0.6801439605
24	0.6796723431
25	0.6792001949
26	0.6787878901
27	0.6783692716
28	0.6780093961
29	0.6776082068
30	0.6772802072
31	0.6768569314
32	0.6764794046
33	0.6760692578
34	0.6756527855
35	0.6752383373
36	0.6749212509
37	0.6745615993
38	0.6742794758
39	0.6739219577
40	0.6736207765
41	0.6733291363
42	0.6729785221
43	0.6727679235
44	0.67244546
45	0.6720886295
46	0.6718142592
47	0.6715761726
48	0.6713563133
49	0.6710573492
50	0.6708230201
51	0.6704972094
52	0.6702203437
53	0.6699298849
54	0.6696632546
55	0.6693991242
56	0.6691375664
57	0.6688747843
58	0.668590354
59	0.6683216128
60	0.6680366784
61	0.6678266242
62	0.6675768261
63	0.6673552677
64	0.667057355
65	0.6668024668
66	0.6665773389
67	0.6663977735
68	0.6661125423
69	0.6658760732
70	0.6656379834
71	0.665373758
72	0.665102945
73	0.6649416222
74	0.664707101
75	0.664496789
76	0.6643294104
77	0.6641549736
78	0.6640071999
79	0.6638282621
80	0.6636272132
81	0.6634914442
82	0.6633035695
83	0.6630920378
84	0.6629276428
85	0.6626839218
86	0.6625112349
87	0.6624219789
88	0.662239181
89	0.6620759314
90	0.6619313278
91	0.661775232
92	0.6616276197
93	0.6615003123
94	0.661346523
95	0.6612263121
96	0.6610671778
97	0.6608975687
98	0.6607808859
99	0.6606359116
100	0.6605057987
101	0.6603677287
102	0.6602377876
103	0.6600549274
104	0.6599019977
105	0.6598045291
106	0.659652578
107	0.6595201724
108	0.6593952903
109	0.6592787668
110	0.6591646052
111	0.6590502609
112	0.6589012814
113	0.6587801771
114	0.658659158
115	0.6585307238
116	0.6584553044
117	0.65833874
118	0.6582450624
119	0.6581214899
120	0.6579754904
121	0.6578603658
122	0.6577595125
123	0.6576774031
124	0.6575961568
125	0.6575119508
126	0.6574081147
127	0.6572829261
128	0.6571795126
129	0.6570580497
130	0.6569771168
131	0.6568777646
132	0.656775823
133	0.6566630323
134	0.6565643473
135	0.6564711829
136	0.6563600384
137	0.6562664092
138	0.6561813797
139	0.6560911051
140	0.6560082504
141	0.6559182544
142	0.6558283566
143	0.6557005635
144	0.6555968324
145	0.6555226091
146	0.6554508668
147	0.6553604031
148	0.6552696538
149	0.6551970063
150	0.6550870556
151	0.6549964837
152	0.6549058383
153	0.6548381161
154	0.6547511049
155	0.6546759505
156	0.6545967202
157	0.6545403773
158	0.6544502938
159	0.6543946472
160	0.6543675936
161	0.6543001112
162	0.6542227728
163	0.6541829905
164	0.6541041773
165	0.654010938
166	0.6539719803
167	0.6538863315
168	0.6538376739
169	0.6537678369
170	0.6536473882
171	0.6535625082
172	0.6534930359
173	0.6534073533
174	0.6533494476
175	0.6532595079
176	0.6531983156
177	0.6531239296
178	0.6530764846
179	0.6530181218
180	0.6529592952
181	0.6528847999
182	0.6527897047
183	0.652743864
184	0.6526675068
185	0.6526217885
186	0.6525611249
187	0.6525102932
188	0.6524515694
189	0.6524111605
190	0.6523726
191	0.6523254834
192	0.6522493439
193	0.6521850735
194	0.6521294288
195	0.6520739045
196	0.6520257771
197	0.651980501
198	0.6519428491
199	0.6518855664
200	0.6518299749
201	0.6517847009
202	0.6517271345
203	0.6517020061
204	0.6516446127
205	0.6516038948
206	0.6515692857
207	0.6515212798
208	0.6514563811
209	0.6513990925
210	0.6513263789
211	0.6512876571
212	0.6512496575
213	0.6511874008
214	0.6511539349
215	0.6510832626
216	0.6510505004
217	0.6509911346
218	0.6509483662
219	0.6509163084
220	0.6508701762
221	0.6507855595
222	0.6507242975
223	0.6506797533
224	0.6506353924
225	0.6505822135
226	0.6505339335
227	0.6504878819
228	0.6504503089
229	0.6504172099
230	0.6503778098
231	0.6503111823
232	0.650234237
233	0.6501890605
234	0.6501404206
235	0.6500860112
236	0.650051358
237	0.6500335737
238	0.6499969911
239	0.6499503379
240	0.6499277347
241	0.6498793337
242	0.6498253406
243	0.6497919055
244	0.6497204932
245	0.6496737819
246	0.6496190592
247	0.6495782879
248	0.6495552895
249	0.6495059691
250	0.6494554328
251	0.6494130219
252	0.6493619765
253	0.6493161436
254	0.6492853308
255	0.6492276397
256	0.6491888798
257	0.64912791
258	0.6490846584
259	0.6490390911
260	0.6489990472
261	0.6489575493
262	0.6489270682
263	0.6488899826
264	0.6488711003
265	0.648842882
266	0.6488039885
267	0.6487707487
268	0.6487372794
269	0.6486895245
270	0.6486460381
271	0.6486205828
272	0.6485885096
273	0.6485468456
274	0.64851942
275	0.6484612137
276	0.6484315322
277	0.6483991166
278	0.6483646981
279	0.6483222669
280	0.6482877851
281	0.648245927
282	0.6482210776
283	0.6481916393
284	0.6481594232
285	0.6481258308
286	0.6481014991
287	0.6480484405
288	0.6480049315
289	0.6479751341
290	0.647939605
291	0.6478755424
292	0.6478263937
293	0.6477813127
294	0.647753403
295	0.6477194273
296	0.6476869403
297	0.6476615614
298	0.6476360131
299	0.6476065265
300	0.6475709393
301	0.6475443678
302	0.6475067427
303	0.6474704647
304	0.6474407838
305	0.6473946068
306	0.6473609963
307	0.6473172561
308	0.6472881103
309	0.6472652563
310	0.6472384896
311	0.6472147581
312	0.6471750599
313	0.6471557911
314	0.647131245
315	0.6470897757
316	0.6470491579
317	0.6470015835
318	0.6469458139
319	0.646908465
320	0.6468735764
321	0.6468427187
322	0.6467944471
323	0.6467756418
324	0.6467455971
325	0.6467217242
326	0.646694487
327	0.6466717872
328	0.6466436632
329	0.6466042684
330	0.6465674009
331	0.6465256038
332	0.6464832444
333	0.6464426721
334	0.6464180047
335	0.6463975516
336	0.6463554176
337	0.6463304966
338	0.6463133729
339	0.6462974004
340	0.6462398238
341	0.6462133518
342	0.64618491
343	0.6461664177
344	0.6461339856
345	0.6460819965
346	0.6460520805
347	0.6460268808
348	0.6459998197
349	0.6459819749
350	0.6459667793
351	0.6459476725
352	0.645918802
353	0.6458854741
354	0.6458661289
355	0.6458240387
356	0.6457868072
357	0.6457639887
358	0.6457294642
359	0.6456754957
360	0.6456482722
361	0.645621031
362	0.645596311
363	0.6455713947
364	0.6455431329
