iter	Passed	Remaining
0	0	279
1	1	264
2	1	273
3	2	273
4	2	264
5	3	260
6	3	255
7	4	253
8	4	251
9	5	249
10	5	248
11	6	246
12	6	244
13	7	244
14	7	243
15	8	242
16	8	242
17	9	241
18	9	242
19	10	241
20	10	240
21	11	240
22	11	239
23	12	239
24	12	238
25	13	239
26	13	238
27	14	237
28	14	237
29	15	236
30	15	235
31	16	234
32	16	233
33	16	232
34	17	231
35	17	230
36	18	229
37	18	229
38	19	229
39	19	228
40	20	228
41	20	228
42	21	227
43	21	226
44	22	226
45	22	226
46	23	225
47	23	224
48	24	225
49	24	224
50	25	224
51	25	223
52	26	223
53	26	222
54	27	222
55	27	221
56	28	220
57	28	220
58	29	219
59	29	219
60	30	219
61	31	219
62	31	218
63	32	218
64	32	217
65	33	217
66	33	216
67	34	216
68	34	216
69	35	215
70	35	214
71	36	214
72	36	214
73	37	213
74	37	213
75	38	212
76	38	212
77	39	211
78	39	210
79	40	210
80	40	209
81	41	209
82	41	209
83	42	208
84	42	207
85	43	207
86	43	206
87	44	206
88	44	206
89	45	205
90	45	205
91	46	204
92	46	204
93	47	203
94	47	203
95	48	203
96	48	202
97	49	202
98	49	201
99	50	200
100	50	200
101	51	200
102	51	199
103	52	199
104	52	198
105	53	198
106	53	197
107	54	197
108	54	196
109	55	196
110	55	195
111	56	195
112	56	194
113	57	194
114	57	194
115	58	193
116	58	192
117	59	192
118	59	191
119	60	191
120	60	190
121	61	190
122	61	189
123	62	189
124	62	188
125	63	188
126	63	187
127	64	187
128	64	186
129	65	186
130	65	185
131	66	185
132	66	184
133	67	184
134	68	184
135	68	183
136	69	182
137	69	182
138	70	182
139	70	181
140	71	181
141	71	180
142	72	180
143	72	179
144	73	179
145	73	178
146	74	178
147	74	177
148	75	177
149	75	176
150	76	176
151	76	175
152	77	175
153	77	174
154	78	174
155	78	173
156	79	173
157	79	172
158	80	172
159	81	172
160	81	171
161	82	171
162	82	170
163	83	170
164	83	169
165	84	169
166	84	168
167	85	168
168	85	167
169	86	167
170	86	166
171	87	166
172	87	165
173	88	165
174	88	164
175	89	164
176	89	164
177	90	163
178	91	163
179	91	162
180	92	162
181	92	161
182	93	161
183	93	161
184	94	160
185	94	160
186	95	159
187	96	159
188	96	158
189	97	158
190	97	157
191	98	157
192	98	156
193	99	156
194	99	155
195	100	155
196	100	154
197	101	154
198	101	154
199	102	153
200	102	153
201	103	152
202	103	152
203	104	151
204	105	151
205	105	150
206	106	150
207	106	149
208	107	149
209	107	148
210	108	148
211	108	147
212	109	147
213	109	146
214	110	146
215	110	145
216	111	145
217	111	144
218	112	144
219	112	143
220	113	143
221	114	142
222	114	142
223	115	141
224	115	141
225	116	140
226	116	140
227	117	139
228	117	139
229	118	138
230	118	138
231	119	137
232	119	137
233	120	136
234	120	135
235	121	135
236	121	135
237	122	134
238	122	133
239	123	133
240	123	133
241	124	132
242	124	131
243	125	131
244	125	130
245	126	130
246	126	129
247	127	129
248	127	128
249	128	128
250	129	128
251	129	127
252	130	126
253	130	126
254	131	125
255	131	125
256	132	124
257	132	124
258	133	123
259	133	123
260	134	122
261	134	122
262	135	121
263	135	121
264	136	120
265	136	120
266	137	119
267	137	119
268	138	118
269	138	118
270	139	117
271	140	117
272	140	116
273	141	116
274	141	115
275	142	115
276	142	115
277	143	114
278	144	114
279	144	113
280	145	113
281	145	112
282	146	112
283	146	111
284	147	110
285	147	110
286	148	109
287	148	109
288	149	108
289	149	108
290	150	107
291	150	107
292	151	106
293	151	106
294	152	105
295	152	105
296	153	104
297	154	104
298	154	103
299	155	103
300	155	102
301	156	102
302	156	101
303	157	101
304	157	100
305	158	100
306	158	99
307	159	99
308	159	98
309	160	98
310	160	97
311	161	97
312	161	96
313	162	96
314	162	95
315	163	95
316	163	94
317	164	94
318	164	93
319	165	93
320	165	92
321	166	92
322	167	91
323	167	91
324	168	90
325	168	89
326	169	89
327	169	88
328	170	88
329	170	87
330	171	87
331	171	86
332	172	86
333	172	85
334	173	85
335	173	84
336	174	84
337	175	83
338	175	83
339	176	82
340	176	82
341	177	81
342	177	81
343	178	80
344	178	80
345	179	79
346	179	79
347	180	78
348	180	78
349	181	77
350	181	77
351	182	76
352	183	76
353	183	75
354	184	75
355	184	74
356	185	74
357	185	73
358	186	73
359	186	72
360	187	72
361	187	71
362	188	71
363	188	70
364	189	69
365	189	69
366	190	68
367	190	68
368	191	67
369	191	67
370	192	66
371	192	66
372	193	65
373	193	65
374	194	64
375	194	64
376	195	63
377	196	63
378	196	62
379	197	62
380	197	61
381	198	61
382	198	60
383	199	60
384	199	59
385	200	59
386	200	58
387	201	58
388	201	57
389	202	57
390	202	56
391	203	56
392	204	55
393	204	55
394	205	54
395	205	53
396	206	53
397	206	52
398	207	52
399	207	51
400	208	51
401	208	50
402	209	50
403	209	49
404	210	49
405	210	48
406	211	48
407	211	47
408	212	47
409	213	46
410	213	46
411	214	45
412	214	45
413	215	44
414	215	44
415	216	43
416	217	43
417	217	42
418	218	42
419	218	41
420	219	41
421	219	40
422	220	40
423	220	39
424	221	39
425	221	38
426	222	37
427	222	37
428	223	36
429	223	36
430	224	35
431	224	35
432	225	34
433	225	34
434	226	33
435	227	33
436	227	32
437	228	32
438	228	31
439	229	31
440	229	30
441	230	30
442	230	29
443	231	29
444	231	28
445	232	28
446	232	27
447	233	27
448	234	26
449	234	26
450	235	25
451	235	25
452	236	24
453	236	23
454	237	23
455	237	22
456	238	22
457	238	21
458	239	21
459	240	20
460	240	20
461	241	19
462	241	19
463	242	18
464	242	18
465	243	17
466	243	17
467	244	16
468	244	16
469	245	15
470	245	15
471	246	14
472	246	14
473	247	13
474	247	13
475	248	12
476	248	12
477	249	11
478	250	10
479	250	10
480	251	9
481	251	9
482	252	8
483	252	8
484	253	7
485	253	7
486	254	6
487	254	6
488	255	5
489	256	5
490	256	4
491	257	4
492	257	3
493	258	3
494	258	2
495	259	2
496	259	1
497	260	1
498	260	0
499	261	0
